Dex,Spawn,League / Purpose,Best form & rank,Folded forms,Total
456,Finneon,Collection only,,Finneon #456 · Lumineon #457,
459,Snover,PvE,"PvE: Mega Abomasnow — Ice #11, #4, #3",Snover #459 · Abomasnow #460,1
479,Rotom,Collection only,,Rotom #479,
479,Rotom,Collection only,,Rotom (Fan) #479,
479,Rotom,Collection only,,Rotom (Mow) #479,
479,Rotom,Collection only,,Rotom (Heat) #479,
479,Rotom,Collection only,,Rotom (Wash) #479,
479,Rotom,Collection only,,Rotom (Frost) #479,
480,Uxie,Collection only,,Uxie #480,
481,Mesprit,Collection only,,Mesprit #481,
482,Azelf,Collection only,,Azelf #482,
483,Dialga,ML PvE,ML: Dialga #41 | ML: Shadow Dialga #42 | PvE: Shadow Dialga — Steel #7 | PvE: Shadow Dialga — Dragon #9,Dialga #483,4
483,Dialga,ML PvE,ML: Dialga (Origin) #7 | PvE: Shadow Dialga — Steel #7 | PvE: Shadow Dialga — Dragon #9,Dialga (Origin) #483,3
484,Palkia,ML PvE,ML: Shadow Palkia #16 | ML: Palkia #27 | PvE: Shadow Palkia — Dragon #12 | PvE: Shadow Palkia — Water #15,Palkia #484,4
484,Palkia,ML PvE,ML: Palkia (Origin) #2 | PvE: Shadow Palkia — Dragon #12 | PvE: Shadow Palkia — Water #15,Palkia (Origin) #484,3
485,Heatran,ML PvE,ML: Shadow Heatran #66 | PvE: Shadow Heatran — Fire #5,Heatran #485,2
486,Regigigas,PvE,PvE: Shadow Regigigas — Normal #1 | PvE: Shadow Regigigas — Psychic #20,Regigigas #486,2
487,Giratina,ML PvE,ML: Giratina (Origin) #70 | PvE: Altered Shadow Giratina — Ghost #15,Giratina (Origin) #487,2
487,Giratina,ML PvE UL,UL: Giratina (Altered) #32 | UL: Shadow Giratina (Altered) #43 | ML: Shadow Giratina (Altered) #75 | PvE: Altered Shadow Giratina — Ghost #15,Giratina (Altered) #487,4
488,Cresselia,UL,UL: Cresselia #39 | UL: Shadow Cresselia #51,Cresselia #488,2
491,Darkrai,PvE,PvE: Shadow Darkrai — Dark #4 | PvE: Shadow Darkrai — Ghost #5,Darkrai #491,2
492,Shaymin,PvE,PvE: Sky Shaymin — Grass #6,Shaymin (Sky) #492,1
492,Shaymin,PvE,PvE: Sky Shaymin — Grass #6,Shaymin (Land) #492,1
494,Victini,Collection only,,Victini #494,
495,Snivy,Collection only,,Snivy #495 · Servine #496 · Serperior #497,
498,Tepig,LC,LC: Tepig #48,Tepig #498 · Pignite #499 · Emboar #500,1
501,Oshawott,GL UL,GL: Samurott #90 | UL: Samurott #74 | UL: Shadow Samurott #100,Oshawott #501 · Dewott #502 · Samurott #503 · Samurott (Hisuian) #503,3
504,Patrat,Collection only,,Patrat #504 · Watchog #505,
506,Lillipup,Collection only,,Lillipup #506 · Herdier #507 · Stoutland #508,
509,Purrloin,LC,LC: Shadow Purrloin #21,Purrloin #509 · Liepard #510,1
511,Pansage,Collection only,,Pansage #511 · Simisage #512,
513,Pansear,Collection only,,Pansear #513 · Simisear #514,
515,Panpour,Collection only,,Panpour #515 · Simipour #516,
517,Munna,Collection only,,Munna #517 · Musharna #518,
519,Pidove,Collection only,,Pidove #519 · Tranquill #520 · Unfezant #521,
522,Blitzle,Collection only,,Blitzle #522 · Zebstrika #523,
524,Roggenrola,PvE,"PvE: Shadow Gigalith — Rock #5, #4, #5",Roggenrola #524 · Boldore #525 · Gigalith #526,1
527,Woobat,Collection only,,Woobat #527 · Swoobat #528,
529,Drilbur,PvE,"PvE: Shadow Excadrill — Ground #7, #2, #3",Drilbur #529 · Excadrill #530,1
531,Audino,Collection only,,Audino #531,
532,Timburr,PvE,"PvE: Shadow Conkeldurr — Fighting #7, #4, #5",Timburr #532 · Gurdurr #533 · Conkeldurr #534,1
535,Tympole,GL UL,GL: Seismitoad #31 | UL: Seismitoad #68,Tympole #535 · Palpitoad #536 · Seismitoad #537,2
538,Throh,Collection only,,Throh #538,
539,Sawk,Collection only,,Sawk #539,
540,Sewaddle,Collection only,,Sewaddle #540 · Swadloon #541 · Leavanny #542,
543,Venipede,Collection only,,Venipede #543 · Whirlipede #544 · Scolipede #545,
546,Cottonee,Collection only,,Cottonee #546 · Whimsicott #547,
548,Petilil,Collection only,,Petilil #548 · Lilligant #549 · Lilligant (Hisuian) #549,
550,Basculin,Collection only,,Basculin #550,
551,Sandile,Collection only,,Sandile #551 · Krokorok #552 · Krookodile #553,
554,Darumaka,PvE,"PvE: Galarian Darmanitan — Ice #17, #7, #6",Darumaka #554 · Darumaka (Galarian) #554 · Darmanitan (Standard) #555 · Darmanitan (Galarian) #555,1
556,Maractus,Collection only,,Maractus #556,
557,Dwebble,GL UL,GL: Crustle #98 | UL: Crustle #98,Dwebble #557 · Crustle #558,2
559,Scraggy,Collection only,,Scraggy #559 · Scrafty #560,
561,Sigilyph,Collection only,,Sigilyph #561,
562,Yamask,UL,UL: Runerigus #48 | UL: Cofagrigus #97,Yamask #562 · Yamask (Galarian) #562 · Cofagrigus #563 · Runerigus #867,2
564,Tirtouga,LC,LC: Tirtouga #46,Tirtouga #564 · Carracosta #565,1
566,Archen,Collection only,,Archen #566 · Archeops #567,
568,Trubbish,Collection only,,Trubbish #568 · Garbodor #569,
570,Zorua,Collection only,,Zorua #570 · Zorua (Hisuian) #570 · Zoroark #571 · Zoroark (Hisuian) #571,
572,Minccino,Collection only,,Minccino #572 · Cinccino #573,
574,Gothita,Collection only,,Gothita #574 · Gothorita #575 · Gothitelle #576,
577,Solosis,Collection only,,Solosis #577 · Duosion #578 · Reuniclus #579,
580,Ducklett,LC,LC: Ducklett #6 | LC: Shadow Ducklett #31,Ducklett #580 · Swanna #581,2
582,Vanillite,Collection only,,Vanillite #582 · Vanillish #583 · Vanilluxe #584,
585,Deerling,Collection only,,Deerling #585 · Sawsbuck #586,
587,Emolga,Collection only,,Emolga #587,
588,Karrablast,Collection only,,Karrablast #588 · Escavalier #589,
590,Foongus,Collection only,,Foongus #590 · Amoonguss #591,
592,Frillish,GL UL,GL: Jellicent #10 | UL: Jellicent #11,Frillish #592 · Jellicent #593,2
594,Alomomola,Collection only,,Alomomola #594,
595,Joltik,Collection only,,Joltik #595 · Galvantula #596,
597,Ferroseed,Collection only,,Ferroseed #597 · Ferrothorn #598,
599,Klink,Collection only,,Klink #599 · Klang #600 · Klinklang #601,
602,Tynamo,Collection only,,Tynamo #602 · Eelektrik #603 · Eelektross #604,
605,Elgyem,Collection only,,Elgyem #605 · Beheeyem #606,
607,Litwick,PvE,"PvE: Shadow Chandelure — Ghost #6, #2, #6",Litwick #607 · Lampent #608 · Chandelure #609,1
610,Axew,PvE,"PvE: Shadow Haxorus — Dragon #8, #3, #5",Axew #610 · Fraxure #611 · Haxorus #612,1
613,Cubchoo,Collection only,,Cubchoo #613 · Beartic #614,
615,Cryogonal,Collection only,,Cryogonal #615,
616,Shelmet,LC,LC: Shelmet #29,Shelmet #616 · Accelgor #617,1
618,Stunfisk,GL UL,GL: Stunfisk #71 | UL: Stunfisk #84,Stunfisk #618,2
618,Stunfisk,GL,GL: Stunfisk (Galarian) #69,Stunfisk (Galarian) #618,1
619,Mienfoo,Collection only,,Mienfoo #619 · Mienshao #620,
621,Druddigon,Collection only,,Druddigon #621,
622,Golett,LC,LC: Shadow Golett #25,Golett #622 · Golurk #623,1
624,Pawniard,LC,LC: Pawniard #16,Pawniard #624 · Bisharp #625 · Kingambit #983,1
626,Bouffalant,Collection only,,Bouffalant #626,
627,Rufflet,Collection only,,Rufflet #627 · Braviary #628 · Braviary (Hisuian) #628,
629,Vullaby,GL LC,LC: Vullaby #5 | GL: Mandibuzz #55,Vullaby #629 · Mandibuzz #630,2
631,Heatmor,Collection only,,Heatmor #631,
632,Durant,Collection only,,Durant #632,
633,Deino,GL LC ML PvE UL,"LC: Deino #9 | GL: Shadow Hydreigon #73 | GL: Hydreigon #88 | UL: Shadow Hydreigon #67 | ML: Shadow Hydreigon #43 | ML: Hydreigon #65 | PvE: Shadow Hydreigon — Dark #3, #2, #6",Deino #633 · Zweilous #634 · Hydreigon #635,7
636,Larvesta,PvE,"PvE: Volcarona — Bug #6, #5, #4 | PvE: Volcarona — Fire #26, #10, #5",Larvesta #636 · Volcarona #637,2
638,Cobalion,UL,UL: Cobalion #72,Cobalion #638,1
639,Terrakion,PvE,PvE: Terrakion — Fighting #9 | PvE: Terrakion — Rock #11,Terrakion #639,2
640,Virizion,UL,UL: Virizion #8,Virizion #640,1
641,Tornadus,Collection only,,Tornadus (Therian) #641,
641,Tornadus,Collection only,,Tornadus (Incarnate) #641,
642,Thundurus,PvE,PvE: Shadow Therian Thundurus — Electric #8,Thundurus (Therian) #642,1
642,Thundurus,PvE,PvE: Shadow Therian Thundurus — Electric #8,Thundurus (Incarnate) #642,1
643,Reshiram,ML PvE,ML: Reshiram #8 | ML: Shadow Reshiram #14 | PvE: Shadow Reshiram — Fire #2,Reshiram #643,3
644,Zekrom,ML PvE,ML: Zekrom #12 | PvE: Zekrom — Electric #5,Zekrom #644,2
645,Landorus,ML PvE,ML: Landorus (Therian) #57 | PvE: Therian Landorus — Ground #5,Landorus (Therian) #645,2
645,Landorus,PvE,PvE: Therian Landorus — Ground #5,Landorus (Incarnate) #645,1
646,Kyurem,ML PvE,ML: Kyurem #48 | PvE: White Kyurem — Ice #1 | PvE: Black Kyurem — Dragon #3 | PvE: Black Kyurem — Ghost #10 | PvE: White Kyurem — Steel #16 | PvE: Black Kyurem — Electric #19,Kyurem #646,6
646,Kyurem,ML PvE,ML: Kyurem (Black) #10 | PvE: White Kyurem — Ice #1 | PvE: Black Kyurem — Dragon #3 | PvE: Black Kyurem — Ghost #10 | PvE: White Kyurem — Steel #16 | PvE: Black Kyurem — Electric #19,Kyurem (Black) #646,6
647,Keldeo,ML PvE,ML: Keldeo (Ordinary) #54 | PvE: Resolute Keldeo — Fighting #4,Keldeo (Ordinary) #647,2
648,Meloetta,ML PvE,ML: Meloetta (Aria) #26 | PvE: Aria Meloetta — Normal #9,Meloetta (Aria) #648,2
649,Genesect,PvE,PvE: Shock Genesect — Bug #12 | PvE: Shock Genesect — Steel #18,Genesect #649,2
650,Chespin,PvE,"PvE: Shadow Chesnaught — Grass #4, #3, #6",Chespin #650 · Quilladin #651 · Chesnaught #652,1
653,Fennekin,Collection only,,Fennekin #653 · Braixen #654 · Delphox #655,
656,Froakie,Collection only,,Froakie #656 · Frogadier #657 · Greninja #658,
659,Bunnelby,GL,GL: Diggersby #41,Bunnelby #659 · Diggersby #660,1
661,Fletchling,GL LC UL,LC: Fletchling #37 | GL: Talonflame #34 | GL: Shadow Talonflame #54 | UL: Talonflame #24 | UL: Shadow Talonflame #35,Fletchling #661 · Fletchinder #662 · Talonflame #663,5
664,Scatterbug,Collection only,,Scatterbug #664 · Vivillon #666,
667,Litleo,Collection only,,Litleo #667 · Pyroar #668,
669,Flabebe,GL ML UL,GL: Florges #45 | UL: Florges #6 | ML: Florges #36,Flabebe #669 · Floette #670 · Florges #671,3
672,Skiddo,Collection only,,Skiddo #672 · Gogoat #673,
674,Pancham,Collection only,,Pancham #674 · Pangoro #675,
676,Furfrou,Collection only,,Furfrou #676,
677,Espurr,Collection only,,Espurr #677 · Meowstic (Male) #678,
679,Honedge,GL,GL: Aegislash (Shield) #65 | GL: Doublade #92,Honedge #679 · Doublade #680 · Aegislash (Shield) #681,2
682,Spritzee,UL,UL: Aromatisse #63,Spritzee #682 · Aromatisse #683,1
684,Swirlix,Collection only,,Swirlix #684 · Slurpuff #685,
686,Inkay,GL UL,GL: Malamar #58 | GL: Shadow Malamar #76 | UL: Shadow Malamar #26 | UL: Malamar #29,Inkay #686 · Malamar #687,4
688,Binacle,Collection only,,Binacle #688 · Barbaracle #689,
690,Skrelp,UL,UL: Dragalge #82,Skrelp #690 · Dragalge #691,1
692,Clauncher,Collection only,,Clauncher #692 · Clawitzer #693,
694,Helioptile,Collection only,,Helioptile #694 · Heliolisk #695,
696,Tyrunt,PvE,"PvE: Shadow Tyrantrum — Rock #7, #5, #6",Tyrunt #696 · Tyrantrum #697,1
698,Amaura,LC UL,LC: Amaura #33 | UL: Aurorus #81 | UL: Shadow Aurorus #96,Amaura #698 · Aurorus #699,3
701,Hawlucha,Collection only,,Hawlucha #701,
702,Dedenne,Collection only,,Dedenne #702,
703,Carbink,Collection only,,Carbink #703,
704,Goomy,GL ML UL,GL: Sliggoo #37 | UL: Goodra #87 | ML: Goodra #53,Goomy #704 · Sliggoo #705 · Goodra #706,3
707,Klefki,Collection only,,Klefki #707,
708,Phantump,Collection only,,Phantump #708 · Trevenant #709,
710,Pumpkaboo,GL,GL: Gourgeist (Large) #82 | GL: Gourgeist (Average) #86 | GL: Gourgeist (Super) #87 | GL: Gourgeist (Small) #97,Pumpkaboo (Large) #710 · Pumpkaboo (Small) #710 · Pumpkaboo (Super) #710 · Pumpkaboo (Average) #710 · Gourgeist (Large) #711 · Gourgeist (Small) #711 · Gourgeist (Super) #711 · Gourgeist (Average) #711,4
712,Bergmite,Collection only,,Bergmite #712 · Avalugg #713 · Avalugg (Hisuian) #713,
714,Noibat,Collection only,,Noibat #714 · Noivern #715,
716,Xerneas,ML PvE,ML: Xerneas #6 | PvE: Xerneas — Fairy #7 | PvE: Xerneas — Normal #11,Xerneas #716,3
717,Yveltal,ML PvE,ML: Yveltal #22 | PvE: Yveltal — Flying #8 | PvE: Yveltal — Dark #20,Yveltal #717,3
718,Zygarde,Collection only,,Zygarde (50% Forme) #718,
718,Zygarde,Collection only,,Zygarde (10% Forme) #718,
718,Zygarde,ML UL,UL: Zygarde (Complete Forme) #13 | ML: Zygarde (Complete Forme) #25,Zygarde (Complete Forme) #718,2
719,Diancie,PvE,PvE: Mega Diancie — Rock #1,Diancie #719,1
720,Hoopa,PvE,PvE: Unbound Hoopa — Psychic #14 | PvE: Unbound Hoopa — Ghost #17,Hoopa #720,2
720,Hoopa,PvE,PvE: Unbound Hoopa — Psychic #14 | PvE: Unbound Hoopa — Ghost #17,Hoopa (Unbound) #720,2
721,Volcanion,ML,ML: Volcanion #62,Volcanion #721,1
722,Rowlet,Collection only,,Rowlet #722 · Dartrix #723 · Decidueye #724 · Decidueye (Hisuian) #724,
725,Litten,Collection only,,Litten #725 · Torracat #726 · Incineroar #727,
728,Popplio,ML PvE UL,"UL: Primarina #71 | ML: Primarina #49 | PvE: Primarina — Water #13, #8, #4 | PvE: Primarina — Fairy #23, #8, #6",Popplio #728 · Brionne #729 · Primarina #730,4
731,Pikipek,PvE UL,"UL: Toucannon #62 | UL: Shadow Toucannon #66 | PvE: Shadow Toucannon — Flying #11, #3, #5",Pikipek #731 · Trumbeak #732 · Toucannon #733,3
734,Yungoos,Collection only,,Yungoos #734 · Gumshoos #735,
736,Grubbin,GL,GL: Charjabug #62,Grubbin #736 · Charjabug #737 · Vikavolt #738,1
739,Crabrawler,Collection only,,Crabrawler #739 · Crabominable #740,
741,Oricorio,Collection only,,Oricorio (Pa'u) #741,
741,Oricorio,Collection only,,Oricorio (Baile) #741,
741,Oricorio,Collection only,,Oricorio (Sensu) #741,
741,Oricorio,Collection only,,Oricorio (Pom-Pom) #741,
742,Cutiefly,Collection only,,Cutiefly #742 · Ribombee #743,
744,Rockruff,Collection only,,Rockruff #744 · Lycanroc (Dusk) #745 · Lycanroc (Midday) #745 · Lycanroc (Midnight) #745,
747,Mareanie,GL,GL: Toxapex #100,Mareanie #747 · Toxapex #748,1
749,Mudbray,Collection only,,Mudbray #749 · Mudsdale #750,
751,Dewpider,Collection only,,Dewpider #751 · Araquanid #752,
753,Fomantis,Collection only,,Fomantis #753 · Lurantis #754,
755,Morelull,Collection only,,Morelull #755 · Shiinotic #756,
757,Salandit,Collection only,,Salandit #757 · Salazzle #758,
759,Stufful,Collection only,,Stufful #759 · Bewear #760,
761,Bounsweet,Collection only,,Bounsweet #761 · Steenee #762 · Tsareena #763,
764,Comfey,Collection only,,Comfey #764,
765,Oranguru,GL UL,GL: Oranguru #85 | UL: Oranguru #47,Oranguru #765,2
766,Passimian,Collection only,,Passimian #766,
767,Wimpod,UL,UL: Golisopod #64,Wimpod #767 · Golisopod #768,1
769,Sandygast,Collection only,,Sandygast #769 · Palossand #770,
775,Komala,Collection only,,Komala #775,
776,Turtonator,GL UL,GL: Turtonator #80 | UL: Turtonator #56,Turtonator #776,2
777,Togedemaru,Collection only,,Togedemaru #777,
778,Mimikyu,GL UL,GL: Mimikyu #1 | UL: Mimikyu #1,Mimikyu #778,2
779,Bruxish,Collection only,,Bruxish #779,
780,Drampa,Collection only,,Drampa #780,
781,Dhelmise,Collection only,,Dhelmise #781,
782,Jangmo-o,UL,UL: Kommo-o #91,Jangmo-o #782 · Hakamo-o #783 · Kommo-o #784,1
785,Tapu Koko,PvE,PvE: Tapu Koko — Fairy #8,Tapu Koko #785,1
786,Tapu Lele,ML PvE,ML: Tapu Lele #51 | PvE: Tapu Lele — Fairy #6,Tapu Lele #786,2
787,Tapu Bulu,PvE,PvE: Tapu Bulu — Fairy #9 | PvE: Tapu Bulu — Grass #15,Tapu Bulu #787,2
788,Tapu Fini,Collection only,,Tapu Fini #788,
791,Solgaleo,ML PvE,ML: Lunala #5 | ML: Solgaleo #37 | PvE: Lunala — Ghost #8 | PvE: Lunala — Psychic #17,Solgaleo #791 · Lunala #792,4
793,Nihilego,PvE,PvE: Nihilego — Poison #4,Nihilego #793,1
794,Buzzwole,Collection only,,Buzzwole #794,
795,Pheromosa,Collection only,,Pheromosa #795,
796,Xurkitree,PvE,PvE: Xurkitree — Electric #6 | PvE: Xurkitree — Grass #13 | PvE: Xurkitree — Fairy #16,Xurkitree #796,3
797,Celesteela,Collection only,,Celesteela #797,
798,Kartana,PvE,PvE: Kartana — Grass #3 | PvE: Kartana — Bug #18,Kartana #798,2
799,Guzzlord,GL UL,GL: Guzzlord #24 | UL: Guzzlord #73,Guzzlord #799,2
800,Necrozma,PvE,PvE: Dawn Wings Necrozma — Ghost #1 | PvE: Dusk Mane Necrozma — Steel #3 | PvE: Dusk Mane Necrozma — Psychic #13,Necrozma #800,3
800,Necrozma,ML PvE,ML: Necrozma (Dusk Mane) #31 | PvE: Dawn Wings Necrozma — Ghost #1 | PvE: Dusk Mane Necrozma — Steel #3 | PvE: Dusk Mane Necrozma — Psychic #13,Necrozma (Dusk Mane) #800,4
800,Necrozma,ML PvE,ML: Necrozma (Dawn Wings) #21 | PvE: Dawn Wings Necrozma — Ghost #1 | PvE: Dusk Mane Necrozma — Steel #3 | PvE: Dusk Mane Necrozma — Psychic #13,Necrozma (Dawn Wings) #800,4
802,Marshadow,ML,ML: Marshadow #13,Marshadow #802,1
803,Poipole,PvE,PvE: Naganadel — Poison #7,Poipole #803 · Naganadel #804,1
805,Stakataka,Collection only,,Stakataka #805,
806,Blacephalon,PvE,PvE: Blacephalon — Fire #4,Blacephalon #806,1
807,Zeraora,PvE,PvE: Zeraora — Electric #2,Zeraora #807,1
808,Meltan,GL ML PvE UL,GL: Melmetal #78 | UL: Melmetal #70 | ML: Melmetal #38 | PvE: Melmetal — Steel #15,Meltan #808 · Melmetal #809,4
810,Grookey,PvE,"PvE: Rillaboom — Grass #10, #6, #4",Grookey #810 · Thwackey #811 · Rillaboom #812,1
813,Scorbunny,PvE,"PvE: Cinderace — Fire #28, #12, #6",Scorbunny #813 · Raboot #814 · Cinderace #815,1
816,Sobble,PvE,"PvE: Inteleon — Water #16, #10, #6 | PvE: Inteleon — Normal #32, #12, #6",Sobble #816 · Drizzile #817 · Inteleon #818,2
819,Skwovet,GL,GL: Greedent #39,Skwovet #819 · Greedent #820,1
821,Rookidee,GL UL,GL: Corviknight #19 | GL: Shadow Corviknight #26 | UL: Corviknight #3 | UL: Shadow Corviknight #5,Rookidee #821 · Corvisquire #822 · Corviknight #823,4
824,Blipbug,Collection only,,Blipbug #824 · Dottler #825 · Orbeetle #826,
827,Nickit,Collection only,,Nickit #827 · Thievul #828,
829,Gossifleur,Collection only,,Gossifleur #829 · Eldegoss #830,
831,Wooloo,Collection only,,Wooloo #831 · Dubwool #832,
835,Yamper,Collection only,,Yamper #835 · Boltund #836,
837,Rolycoly,Collection only,,Rolycoly #837 · Carkol #838 · Coalossal #839,
840,Applin,Collection only,,Applin #840 · Flapple #841 · Appletun #842 · Dipplin #1011 · Hydrapple #1019,
843,Silicobra,Collection only,,Silicobra #843 · Sandaconda #844,
848,Toxel,Collection only,,Toxel #848 · Toxtricity #849,
850,Sizzlipede,Collection only,,Sizzlipede #850 · Centiskorch #851,
852,Clobbopus,Collection only,,Clobbopus #852 · Grapploct #853,
854,Sinistea,Collection only,,Sinistea #854 · Polteageist #855,
856,Hatenna,PvE,"PvE: Hatterene — Fairy #17, #5, #4",Hatenna #856 · Hattrem #857 · Hatterene #858,1
859,Impidimp,GL,GL: Morgrem #94,Impidimp #859 · Morgrem #860 · Grimmsnarl #861,1
864,Cursola,Collection only,,Cursola #864,
870,Falinks,Collection only,,Falinks #870,
872,Snom,Collection only,,Snom #872 · Frosmoth #873,
874,Stonjourner,Collection only,,Stonjourner #874,
876,Indeedee,Collection only,,Indeedee (Male) #876,
876,Indeedee,Collection only,,Indeedee (Female) #876,
877,Morpeko,GL,GL: Morpeko (Full Belly) #84,Morpeko (Full Belly) #877,1
884,Duraludon,Collection only,,Duraludon #884,
885,Dreepy,PvE,"PvE: Dragapult — Ghost #18, #6, #5",Dreepy #885 · Drakloak #886 · Dragapult #887,1
888,Zacian,PvE,PvE: Crowned Sword Zacian — Steel #1 | PvE: Crowned Sword Zacian — Fairy #2 | PvE: Crowned Sword Zacian — Normal #5 | PvE: Crowned Sword Zacian — Flying #20,Zacian (Hero) #888,4
888,Zacian,ML PvE,ML: Zacian (Crowned Sword) #1 | PvE: Crowned Sword Zacian — Steel #1 | PvE: Crowned Sword Zacian — Fairy #2 | PvE: Crowned Sword Zacian — Normal #5 | PvE: Crowned Sword Zacian — Flying #20,Zacian (Crowned Sword) #888,5
889,Zamazenta,PvE,PvE: Crowned Shield Zamazenta — Steel #2 | PvE: Crowned Shield Zamazenta — Ice #7 | PvE: Crowned Shield Zamazenta — Normal #14,Zamazenta (Hero) #889,3
889,Zamazenta,ML PvE,ML: Zamazenta (Crowned Shield) #9 | PvE: Crowned Shield Zamazenta — Steel #2 | PvE: Crowned Shield Zamazenta — Ice #7 | PvE: Crowned Shield Zamazenta — Normal #14,Zamazenta (Crowned Shield) #889,4
890,Eternatus,ML PvE,ML: Eternatus #15 | PvE: Eternatus — Poison #1 | PvE: Eternatus — Dragon #2,Eternatus #890,3
891,Kubfu,ML PvE,ML: Urshifu (Single Strike) #64 | ML: Urshifu (Rapid Strike) #71 | PvE: Rapid Strike Urshifu — Fighting #14,Kubfu #891 · Urshifu (Rapid Strike) #892 · Urshifu (Single Strike) #892,3
893,Zarude,PvE,PvE: Zarude — Grass #5,Zarude #893,1
894,Regieleki,PvE,PvE: Regieleki — Electric #14,Regieleki #894,1
895,Regidrago,PvE UL,UL: Regidrago #30 | PvE: Regidrago — Dragon #18,Regidrago #895,2
905,Enamorus,ML PvE,ML: Enamorus (Therian) #74 | PvE: Incarnate Enamorus — Fairy #3 | PvE: Incarnate Enamorus — Flying #6,Enamorus (Therian) #905,3
905,Enamorus,PvE,PvE: Incarnate Enamorus — Fairy #3 | PvE: Incarnate Enamorus — Flying #6,Enamorus (Incarnate) #905,2
906,Sprigatito,Collection only,,Sprigatito #906 · Floragato #907 · Meowscarada #908,
909,Fuecoco,UL,UL: Skeledirge #94,Fuecoco #909 · Crocalor #910 · Skeledirge #911,1
912,Quaxly,PvE,"PvE: Quaquaval — Water #14, #9, #5",Quaxly #912 · Quaxwell #913 · Quaquaval #914,1
915,Lechonk,GL LC UL,LC: Lechonk #43 | GL: Oinkologne (Female) #36 | UL: Oinkologne (Female) #88,Lechonk #915 · Oinkologne #916 · Oinkologne (Female) #916,3
917,Tarountula,GL,GL: Spidops #99,Tarountula #917 · Spidops #918,1
919,Nymble,Collection only,,Nymble #919 · Lokix #920,
921,Pawmi,Collection only,,Pawmi #921 · Pawmo #922 · Pawmot #923,
924,Tandemaus,Collection only,,Tandemaus #924 · Maushold #925,
926,Fidough,Collection only,,Fidough #926 · Dachsbun #927,
928,Smoliv,Collection only,,Smoliv #928 · Dolliv #929 · Arboliva #930,
931,Squawkabilly,Collection only,,Squawkabilly #931,
932,Nacli,Collection only,,Nacli #932 · Naclstack #933 · Garganacl #934,
935,Charcadet,Collection only,,Charcadet #935 · Armarouge #936 · Ceruledge #937,
938,Tadbulb,UL,UL: Bellibolt #33,Tadbulb #938 · Bellibolt #939,1
940,Wattrel,Collection only,,Wattrel #940 · Kilowattrel #941,
944,Shroodle,Collection only,,Shroodle #944 · Grafaiai #945,
948,Toedscool,Collection only,,Toedscool #948 · Toedscruel #949,
950,Klawf,Collection only,,Klawf #950,
955,Flittle,Collection only,,Flittle #955 · Espathra #956,
957,Tinkatink,GL PvE UL,"GL: Tinkaton #3 | UL: Tinkaton #4 | PvE: Tinkaton — Steel #11, #4, #3",Tinkatink #957 · Tinkatuff #958 · Tinkaton #959,3
960,Wiglett,Collection only,,Wiglett #960 · Wugtrio #961,
962,Bombirdier,Collection only,,Bombirdier #962,
965,Varoom,PvE,"PvE: Revavroom — Poison #9, #6, #5",Varoom #965 · Revavroom #966,1
968,Orthworm,UL,UL: Orthworm #61,Orthworm #968,1
969,Glimmet,Collection only,,Glimmet #969 · Glimmora #970,
971,Greavard,LC,LC: Greavard #26,Greavard #971 · Houndstone #972,1
973,Flamigo,Collection only,,Flamigo #973,
974,Cetoddle,Collection only,,Cetoddle #974 · Cetitan #975,
977,Dondozo,GL UL,GL: Dondozo #81 | UL: Dondozo #28,Dondozo #977,2
978,Tatsugiri,Collection only,,Tatsugiri (Curly) #978,
996,Frigibax,LC ML PvE,"LC: Frigibax #36 | ML: Baxcalibur #69 | PvE: Baxcalibur — Ice #9, #3, #2 | PvE: Baxcalibur — Dragon #15, #5, #4",Frigibax #996 · Arctibax #997 · Baxcalibur #998,4
999,Gimmighoul,ML PvE,"ML: Gholdengo #34 | PvE: Gholdengo — Ghost #13, #5, #4",Gimmighoul #999 · Gholdengo #1000,2
1012,Poltchageist,Collection only,,Poltchageist #1012 · Sinistcha #1013,
