Dex,Spawn (base),League / Purpose,Best form & rank,IV target,Moveset,Keep,Total
501,Oshawott,GL,Samurott #90 (score 87.6),Rank ≤ #100  (low ATK / high bulk),Fury Cutter / Hydro Cannon / Megahorn,1,3
,,UL,Samurott #74 (score 88.3),Rank ≤ #100  (low ATK / high bulk),Fury Cutter / Hydro Cannon / Megahorn,1,
,,UL,Samurott (Shadow) #100 (score 87.3),Rank ≤ #100  (low ATK / high bulk),Fury Cutter / Hydro Cannon / Megahorn,1,
509,Purrloin,LC,Purrloin (Shadow) #21 (score 79.9),Rank ≤ #100  (low ATK / high bulk),Sucker Punch / Night Slash / Dark Pulse,1,1
535,Tympole,GL,Seismitoad #31 (score 90.2),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Earth Power / Icy Wind,1,2
,,UL,Seismitoad #68 (score 88.6),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Earth Power / Icy Wind,1,
557,Dwebble,GL,Crustle #98 (score 87.3),Rank ≤ #100  (low ATK / high bulk),Fury Cutter / X Scissor / Rock Wrecker,1,2
,,UL,Crustle #98 (score 87.4),Rank ≤ #100  (low ATK / high bulk),Fury Cutter / X Scissor / Rock Wrecker,1,
562,Yamask,UL,Cofagrigus #97 (score 87.4),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Shadow Ball / Dark Pulse,1,2
,,UL,Runerigus #48 (score 89.5),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Rock Tomb / Shadow Ball,1,
564,Tirtouga,LC,Tirtouga #46 (score 77),Rank ≤ #100  (low ATK / high bulk),Water Gun / Surf / Body Slam,1,1
580,Ducklett,LC,Ducklett #6 (score 87.4),Rank ≤ #100  (low ATK / high bulk),Wing Attack / Bubble Beam / Brave Bird,1,2
,,LC,Ducklett (Shadow) #31 (score 78.5),Rank ≤ #100  (low ATK / high bulk),Wing Attack / Bubble Beam / Brave Bird,1,
592,Frillish,GL,Jellicent #10 (score 91.6),Rank ≤ #100  (low ATK / high bulk),Hex / Surf / Shadow Ball,1,2
,,UL,Jellicent #11 (score 91.8),Rank ≤ #100  (low ATK / high bulk),Hex / Surf / Shadow Ball,1,
616,Shelmet,LC,Shelmet #29 (score 78.9),Rank ≤ #100  (low ATK / high bulk),Infestation / Body Slam / Bug Buzz,1,1
618,Stunfisk,GL,Stunfisk #71 (score 88.4),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Mud Bomb / Discharge,1,3
,,UL,Stunfisk #84 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Mud Bomb / Discharge,1,
,,GL,Stunfisk (Galarian) #69 (score 88.5),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Rock Slide / Earthquake,1,
622,Golett,LC,Golett (Shadow) #25 (score 79.4),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Shadow Punch / Brick Break,1,1
624,Pawniard,LC,Pawniard #16 (score 81.6),Rank ≤ #100  (low ATK / high bulk),Fury Cutter / Night Slash / Iron Head,1,1
629,Vullaby,GL,Mandibuzz #55 (score 89.2),Rank ≤ #100  (low ATK / high bulk),Snarl / Foul Play / Shadow Ball,1,2
,,LC,Vullaby #5 (score 87.6),Rank ≤ #100  (low ATK / high bulk),Feint Attack / Brave Bird / Foul Play,1,
633,Deino,LC,Deino #9 (score 84.7),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Body Slam / Crunch,1,6
,,GL,Hydreigon #88 (score 87.8),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Brutal Swing / Fly,1,
,,ML,Hydreigon #65 (score 81),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Brutal Swing / Fly,1,
,,GL,Hydreigon (Shadow) #73 (score 88.3),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Brutal Swing / Fly,1,
,,UL,Hydreigon (Shadow) #67 (score 88.6),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Brutal Swing / Fly,1,
,,ML,Hydreigon (Shadow) #43 (score 85.3),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Brutal Swing / Fly,1,
638,Cobalion,UL,Cobalion #72 (score 88.3),Rank ≤ #100  (low ATK / high bulk),Double Kick / Sacred Sword / Stone Edge,1,1
640,Virizion,UL,Virizion #8 (score 92.7),Rank ≤ #100  (low ATK / high bulk),Double Kick / Leaf Blade / Sacred Sword,1,1
643,Reshiram,ML,Reshiram #8 (score 94),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Fusion Flare / Draco Meteor,1,2
,,ML,Reshiram (Shadow) #14 (score 92.5),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Fusion Flare / Draco Meteor,1,
644,Zekrom,ML,Zekrom #12 (score 92.8),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Outrage / Fusion Bolt,1,1
645,Landorus,ML,Landorus (Therian) #57 (score 83),IV% ≥96% or 15 ATK  (high ATK),Mud Shot / Sandsear Storm / Stone Edge,1,1
646,Kyurem,ML,Kyurem #48 (score 84.6),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Glaciate / Dragon Claw,1,3
,,ML,Kyurem (Black) #10 (score 93.1),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Freeze Shock / Fusion Bolt,1,
,,ML,Kyurem (White) #4 (score 94.8),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Fusion Flare / Ice Burn,1,
647,Keldeo,ML,Keldeo (Ordinary) #54 (score 83.9),IV% ≥96% or 15 ATK  (high ATK),Low Kick / Aqua Jet / Sacred Sword,1,2
,,ML,Keldeo (Resolute) #39 (score 86.3),IV% ≥96% or 15 ATK  (high ATK),Low Kick / Secret Sword / Aqua Jet,1,
648,Meloetta,ML,Meloetta (Aria) #26 (score 88.5),IV% ≥96% or 15 ATK  (high ATK),Confusion / Psyshock / Dazzling Gleam,1,1
659,Bunnelby,GL,Diggersby #41 (score 89.6),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Fire Punch / Scorching Sands,1,1
661,Fletchling,LC,Fletchling #37 (score 77.9),Rank ≤ #100  (low ATK / high bulk),Quick Attack / Fly / Aerial Ace,1,5
,,GL,Talonflame #34 (score 90.1),Rank ≤ #100  (low ATK / high bulk),Incinerate / Fly / Brave Bird,1,
,,UL,Talonflame #24 (score 90.6),Rank ≤ #100  (low ATK / high bulk),Incinerate / Fly / Brave Bird,1,
,,GL,Talonflame (Shadow) #54 (score 89.3),Rank ≤ #100  (low ATK / high bulk),Incinerate / Flame Charge / Fly,1,
,,UL,Talonflame (Shadow) #35 (score 90),Rank ≤ #100  (low ATK / high bulk),Incinerate / Fly / Brave Bird,1,
669,Flabebe,GL,Florges #45 (score 89.5),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Chilling Water / Disarming Voice,1,3
,,UL,Florges #6 (score 92.9),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Chilling Water / Disarming Voice,1,
,,ML,Florges #36 (score 86.8),IV% ≥96% or 15 ATK  (high ATK),Fairy Wind / Moonblast / Chilling Water,1,
679,Honedge,GL,Aegislash (Blade) #65 (score 88.7),Rank ≤ #100  (low ATK / high bulk),Aegislash Charge Psycho Cut / Shadow Ball / Gyro Ball,1,2
,,GL,Doublade #92 (score 87.5),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Sacred Sword / Gyro Ball,1,
682,Spritzee,UL,Aromatisse #63 (score 88.7),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Psyshock / Moonblast,1,1
686,Inkay,GL,Malamar #58 (score 89.1),Rank ≤ #100  (low ATK / high bulk),Psywave / Super Power / Foul Play,1,4
,,UL,Malamar #29 (score 90.4),Rank ≤ #100  (low ATK / high bulk),Psywave / Foul Play / Super Power,1,
,,GL,Malamar (Shadow) #76 (score 88.2),Rank ≤ #100  (low ATK / high bulk),Psywave / Foul Play / Super Power,1,
,,UL,Malamar (Shadow) #26 (score 90.5),Rank ≤ #100  (low ATK / high bulk),Psywave / Foul Play / Super Power,1,
690,Skrelp,UL,Dragalge #82 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Dragon Tail / Aqua Tail / Outrage,1,1
698,Amaura,LC,Amaura #33 (score 78.3),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Ancient Power,1,3
,,UL,Aurorus #81 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Meteor Beam,1,
,,UL,Aurorus (Shadow) #96 (score 87.4),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Meteor Beam,1,
704,Goomy,UL,Goodra #87 (score 87.7),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Aqua Tail / Power Whip,1,3
,,ML,Goodra #53 (score 83.9),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aqua Tail / Draco Meteor,1,
,,GL,Sliggoo #37 (score 89.9),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Body Slam / Dragon Pulse,1,
710,Pumpkaboo,GL,Gourgeist (Average) #86 (score 87.8),Rank ≤ #100  (low ATK / high bulk),Incinerate / Shadow Ball / Seed Bomb,1,4
,,GL,Gourgeist (Large) #82 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Incinerate / Shadow Ball / Seed Bomb,1,
,,GL,Gourgeist (Small) #97 (score 87.4),Rank ≤ #100  (low ATK / high bulk),Incinerate / Shadow Ball / Seed Bomb,1,
,,GL,Gourgeist (Super) #87 (score 87.8),Rank ≤ #100  (low ATK / high bulk),Incinerate / Shadow Ball / Seed Bomb,1,
716,Xerneas,ML,Xerneas #6 (score 94.8),IV% ≥96% or 15 ATK  (high ATK),Geomancy / Close Combat / Moonblast,1,1
717,Yveltal,ML,Yveltal #22 (score 89.6),IV% ≥96% or 15 ATK  (high ATK),Sucker Punch / Dark Pulse / Oblivion Wing,1,1
718,Zygarde,UL,Zygarde (Complete Forme) #13 (score 91.6),Rank ≤ #100  (low ATK / high bulk),Dragon Tail / Crunch / Earthquake,1,2
,,ML,Zygarde (Complete Forme) #25 (score 88.6),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Crunch / Earthquake,1,
721,Volcanion,ML,Volcanion #62 (score 81.8),IV% ≥96% or 15 ATK  (high ATK),Incinerate / Scald / Earth Power,1,1
728,Popplio,UL,Primarina #71 (score 88.4),Rank ≤ #100  (low ATK / high bulk),Waterfall / Disarming Voice / Hydro Cannon,1,2
,,ML,Primarina #49 (score 84.6),IV% ≥96% or 15 ATK  (high ATK),Waterfall / Disarming Voice / Hydro Cannon,1,
731,Pikipek,UL,Toucannon #62 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Peck / Beak Blast / Drill Peck,1,2
,,UL,Toucannon (Shadow) #66 (score 88.7),Rank ≤ #100  (low ATK / high bulk),Peck / Beak Blast / Drill Peck,1,
736,Grubbin,GL,Charjabug #62 (score 88.9),Rank ≤ #100  (low ATK / high bulk),Volt Switch / X Scissor / Discharge,1,1
747,Mareanie,GL,Toxapex #100 (score 87.2),Rank ≤ #100  (low ATK / high bulk),Poison Jab / Brine / Sludge Wave,1,1
765,Oranguru,GL,Oranguru #85 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Confusion / Brutal Swing / Trailblaze,1,2
,,UL,Oranguru #47 (score 89.5),Rank ≤ #100  (low ATK / high bulk),Confusion / Brutal Swing / Trailblaze,1,
767,Wimpod,UL,Golisopod #64 (score 88.7),Rank ≤ #100  (low ATK / high bulk),Fury Cutter / X Scissor / Aqua Jet,1,1
776,Turtonator,GL,Turtonator #80 (score 88),Rank ≤ #100  (low ATK / high bulk),Incinerate / Brutal Swing / Dragon Claw,1,2
,,UL,Turtonator #56 (score 89),Rank ≤ #100  (low ATK / high bulk),Incinerate / Brutal Swing / Dragon Claw,1,
778,Mimikyu,GL,Mimikyu (Busted) #1 (score 95.9),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Shadow Sneak / Play Rough,1,2
,,UL,Mimikyu (Busted) #1 (score 95.9),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Shadow Sneak / Play Rough,1,
782,Jangmo-o,UL,Kommo-o #91 (score 87.6),Rank ≤ #100  (low ATK / high bulk),Dragon Tail / Clanging Scales / Upper Hand,1,1
786,Tapu Lele,ML,Tapu Lele #51 (score 84.4),IV% ≥96% or 15 ATK  (high ATK),Astonish / Psyshock / Natures Madness,1,1
789,Cosmog,ML,Lunala #5 (score 94.8),IV% ≥96% or 15 ATK  (high ATK),Shadow Claw / Shadow Ball / Moonblast,1,2
,,ML,Solgaleo #37 (score 86.8),IV% ≥96% or 15 ATK  (high ATK),Fire Spin / Psychic Fangs / Iron Head,1,
799,Guzzlord,GL,Guzzlord #24 (score 90.5),Rank ≤ #100  (low ATK / high bulk),Dragon Tail / Brutal Swing / Sludge Bomb,1,2
,,UL,Guzzlord #73 (score 88.3),Rank ≤ #100  (low ATK / high bulk),Dragon Tail / Brutal Swing / Dragon Claw,1,
800,Necrozma,ML,Necrozma (Dawn Wings) #21 (score 89.6),IV% ≥96% or 15 ATK  (high ATK),Shadow Claw / Dark Pulse / Moongeist Beam,1,2
,,ML,Necrozma (Dusk Mane) #31 (score 87.7),IV% ≥96% or 15 ATK  (high ATK),Shadow Claw / Dark Pulse / Sunsteel Strike,1,
802,Marshadow,ML,Marshadow #13 (score 92.6),IV% ≥96% or 15 ATK  (high ATK),Shadow Claw / Close Combat / Ice Punch,1,1
808,Meltan,GL,Melmetal #78 (score 88),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Double Iron Bash / Dynamic Punch,1,3
,,UL,Melmetal #70 (score 88.5),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Double Iron Bash / Dynamic Punch,1,
,,ML,Melmetal #38 (score 86.6),IV% ≥96% or 15 ATK  (high ATK),Thunder Shock / Double Iron Bash / Dynamic Punch,1,
819,Skwovet,GL,Greedent #39 (score 89.7),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Body Slam / Trailblaze,1,1
821,Rookidee,GL,Corviknight #19 (score 90.8),Rank ≤ #100  (low ATK / high bulk),Sand Attack / Air Cutter / Payback,1,4
,,UL,Corviknight #3 (score 93.4),Rank ≤ #100  (low ATK / high bulk),Sand Attack / Air Cutter / Payback,1,
,,GL,Corviknight (Shadow) #26 (score 90.3),Rank ≤ #100  (low ATK / high bulk),Sand Attack / Air Cutter / Payback,1,
,,UL,Corviknight (Shadow) #5 (score 93.1),Rank ≤ #100  (low ATK / high bulk),Sand Attack / Air Cutter / Payback,1,
859,Impidimp,GL,Morgrem #94 (score 87.5),Rank ≤ #100  (low ATK / high bulk),Sucker Punch / Foul Play / Play Rough,1,1
877,Morpeko,GL,Morpeko (Hangry) #84 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Aura Wheel Electric / Psychic Fangs,1,1
888,Zacian,ML,Zacian (Crowned Sword) #1 (score 99),IV% ≥96% or 15 ATK  (high ATK),Metal Claw / Close Combat / Behemoth Blade,1,1
889,Zamazenta,ML,Zamazenta (Crowned Shield) #9 (score 93.9),IV% ≥96% or 15 ATK  (high ATK),Ice Fang / Close Combat / Behemoth Bash,1,1
890,Eternatus,ML,Eternatus #15 (score 91.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Dynamax Cannon / Flamethrower,1,1
891,Kubfu,ML,Urshifu (Rapid Strike) #71 (score 80.4),IV% ≥96% or 15 ATK  (high ATK),Waterfall / Aqua Jet / Dynamic Punch,1,2
,,ML,Urshifu (Single Strike) #64 (score 81.1),IV% ≥96% or 15 ATK  (high ATK),Sucker Punch / Dynamic Punch / Payback,1,
895,Regidrago,UL,Regidrago #30 (score 90.4),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Dragon Energy / Vice Grip,1,1
905,Enamorus,ML,Enamorus (Therian) #74 (score 80.1),IV% ≥96% or 15 ATK  (high ATK),Fairy Wind / Mystical Fire / Moonblast,1,1
909,Fuecoco,UL,Skeledirge #94 (score 87.6),Rank ≤ #100  (low ATK / high bulk),Incinerate / Torch Song / Shadow Ball,1,1
915,Lechonk,LC,Lechonk #43 (score 77.2),Rank ≤ #100  (low ATK / high bulk),Tackle / Body Slam / Dig,1,3
,,GL,Oinkologne (Female) #36 (score 89.9),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Body Slam / Trailblaze,1,
,,UL,Oinkologne (Female) #88 (score 87.7),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Body Slam / Trailblaze,1,
917,Tarountula,GL,Spidops #99 (score 87.3),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Lunge / Rock Tomb,1,1
938,Tadbulb,UL,Bellibolt #33 (score 90.2),Rank ≤ #100  (low ATK / high bulk),Sucker Punch / Parabolic Charge / Zap Cannon,1,1
957,Tinkatink,GL,Tinkaton #3 (score 92.6),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Gigaton Hammer / Bulldoze,1,2
,,UL,Tinkaton #4 (score 93.2),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Gigaton Hammer / Bulldoze,1,
968,Orthworm,UL,Orthworm #61 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Rock Tomb / Earthquake,1,1
971,Greavard,LC,Greavard #26 (score 79.4),Rank ≤ #100  (low ATK / high bulk),Lick / Psychic Fangs / Shadow Ball,1,1
977,Dondozo,GL,Dondozo #81 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Waterfall / Surf / Outrage,1,2
,,UL,Dondozo #28 (score 90.4),Rank ≤ #100  (low ATK / high bulk),Waterfall / Surf / Outrage,1,
996,Frigibax,ML,Baxcalibur #69 (score 80.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Glaive Rush / Avalanche,1,2
,,LC,Frigibax #36 (score 78),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Avalanche / Dragon Claw,1,
999,Gimmighoul,ML,Gholdengo #34 (score 87),IV% ≥96% or 15 ATK  (high ATK),Hex / Shadow Ball / Focus Blast,1,1
