Section,Spawn,League / Purpose (other uses),Best form & rank,IV target,Moveset,Keep,Total
Ultra League — Top 100,Pineco (Shadow),GL #16,Forretress (Shadow) #18 (score 91.1),Rank ≤ #100  (low ATK / high bulk),Volt Switch / Sand Tomb / Rock Tomb,1,2
Ultra League — Top 100,Vulpix (Alolan),GL #64,Ninetales (Alolan) #19 (score 91.1),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Chilling Water,1,2
Ultra League — Top 100,Horsea,GL #23,Kingdra #20 (score 91),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Surf / Swift,1,2
Ultra League — Top 100,Vulpix (Alolan) (Shadow),GL #65,Ninetales (Alolan) (Shadow) #21 (score 90.8),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Chilling Water,1,2
Ultra League — Top 100,Registeel,GL #74,Registeel #22 (score 90.8),Rank ≤ #100  (low ATK / high bulk),Lock On / Flash Cannon / Focus Blast,1,2
Ultra League — Top 100,Squirtle,GL #53,Blastoise #23 (score 90.7),Rank ≤ #100  (low ATK / high bulk),Rollout / Hydro Cannon / Skull Bash,1,2
Ultra League — Top 100,Duskull,GL #98,Dusknoir #24 (score 90.7),Rank ≤ #100  (low ATK / high bulk),Astonish / Dynamic Punch / Shadow Punch,1,2
Ultra League — Top 100,Lapras,GL #28,Lapras #25 (score 90.7),Rank ≤ #100  (low ATK / high bulk),Psywave / Sparkling Aria / Ice Beam,1,2
Ultra League — Top 100,Inkay,GL #59,Malamar #26 (score 90.7),Rank ≤ #100  (low ATK / high bulk),Psywave / Super Power / Foul Play,1,2
Ultra League — Top 100,Cramorant,GL #13,Cramorant #27 (score 90.6),Rank ≤ #100  (low ATK / high bulk),Peck / Dive / Fly,1,2
Ultra League — Top 100,Duskull (Shadow),GL #75,Dusknoir (Shadow) #28 (score 90.6),Rank ≤ #100  (low ATK / high bulk),Astonish / Dynamic Punch / Shadow Punch,1,2
Ultra League — Top 100,Inkay (Shadow),GL #76,Malamar (Shadow) #29 (score 90.6),Rank ≤ #100  (low ATK / high bulk),Psywave / Foul Play / Super Power,1,2
Ultra League — Top 100,Lapras (Shadow),GL #46,Lapras (Shadow) #30 (score 90.5),Rank ≤ #100  (low ATK / high bulk),Psywave / Sparkling Aria / Ice Beam,1,2
Ultra League — Top 100,Regidrago,—,Regidrago #31 (score 90.5),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Dragon Energy / Vice Grip,1,1
Ultra League — Top 100,Fletchling,GL #35,Talonflame #32 (score 90.5),Rank ≤ #100  (low ATK / high bulk),Incinerate / Fly / Brave Bird,1,2
Ultra League — Top 100,Spheal,—,Walrein #33 (score 90.5),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Icicle Spear / Earthquake,1,1
Ultra League — Top 100,Spheal (Shadow),—,Walrein (Shadow) #34 (score 90.5),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Icicle Spear / Earthquake,1,1
Ultra League — Top 100,Dondozo,GL #85,Dondozo #35 (score 90.4),Rank ≤ #100  (low ATK / high bulk),Waterfall / Surf / Outrage,1,2
Ultra League — Top 100,Giratina (Altered),—,Giratina (Altered) #36 (score 90.4),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Dragon Claw / Shadow Sneak,1,1
Ultra League — Top 100,Fletchling (Shadow),GL #56,Talonflame (Shadow) #37 (score 90.2),Rank ≤ #100  (low ATK / high bulk),Incinerate / Flame Charge / Fly,1,2
Ultra League — Top 100,Tadbulb,—,Bellibolt #38 (score 90.1),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Zap Cannon / Parabolic Charge,1,1
Ultra League — Top 100,Horsea (Shadow),GL #27,Kingdra (Shadow) #39 (score 90),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Surf / Swift,1,2
Ultra League — Top 100,Feebas,GL #88,Milotic #40 (score 89.9),Rank ≤ #100  (low ATK / high bulk),Waterfall / Aqua Tail / Wrap,1,2
Ultra League — Top 100,Vulpix,GL #12,Ninetales #41 (score 89.9),Rank ≤ #100  (low ATK / high bulk),Ember / Weather Ball Fire / Energy Ball,1,2
Ultra League — Top 100,Onix,—,Steelix #42 (score 89.9),Rank ≤ #100  (low ATK / high bulk),Thunder Fang / Psychic Fangs / Crunch,1,1
Ultra League — Top 100,Lileep,GL #49,Cradily #43 (score 89.8),Rank ≤ #100  (low ATK / high bulk),Acid / Rock Tomb / Grass Knot,1,2
Ultra League — Top 100,Cresselia,—,Cresselia #44 (score 89.8),Rank ≤ #100  (low ATK / high bulk),Psycho Cut / Grass Knot / Moonblast,1,1
Ultra League — Top 100,Totodile,GL #15,Feraligatr #45 (score 89.7),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Hydro Cannon / Ice Beam,1,2
Ultra League — Top 100,Giratina (Altered) (Shadow),ML #75,Giratina (Altered) (Shadow) #46 (score 89.7),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Dragon Claw / Shadow Sneak,1,2
Ultra League — Top 100,Oranguru,GL #83,Oranguru #47 (score 89.7),Rank ≤ #100  (low ATK / high bulk),Confusion / Brutal Swing / Trailblaze,1,2
Ultra League — Top 100,Goldeen,GL #84,Seaking #48 (score 89.7),Rank ≤ #100  (low ATK / high bulk),Peck / Drill Run / Icy Wind,1,2
Ultra League — Top 100,Mudkip,GL #66,Swampert #49 (score 89.6),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Hydro Cannon / Earthquake,1,2
Ultra League — Top 100,Yamask (Galarian),—,Runerigus #50 (score 89.5),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Shadow Ball / Rock Tomb,1,1
Ultra League — Top 100,Onix (Shadow),GL #60,Steelix (Shadow) #51 (score 89.4),Rank ≤ #100  (low ATK / high bulk),Thunder Fang / Psychic Fangs / Crunch,1,2
Ultra League — Top 100,Lileep (Shadow),—,Cradily (Shadow) #52 (score 89.3),Rank ≤ #100  (low ATK / high bulk),Acid / Rock Tomb / Grass Knot,1,1
Ultra League — Top 100,Cresselia (Shadow),—,Cresselia (Shadow) #53 (score 89.2),Rank ≤ #100  (low ATK / high bulk),Psycho Cut / Grass Knot / Moonblast,1,1
Ultra League — Top 100,Cleffa,GL #54,Clefable #54 (score 89.1),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Moonblast / Meteor Mash,1,2
Ultra League — Top 100,Vulpix (Shadow),GL #14,Ninetales (Shadow) #55 (score 89.1),Rank ≤ #100  (low ATK / high bulk),Ember / Weather Ball Fire / Energy Ball,1,2
Ultra League — Top 100,Raikou (Shadow),ML #67,Raikou (Shadow) #56 (score 89.1),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Wild Charge / Aura Sphere,1,2
Ultra League — Top 100,Mareep (Shadow),—,Ampharos (Shadow) #57 (score 89),Rank ≤ #100  (low ATK / high bulk),Volt Switch / Brutal Swing / Trailblaze,1,1
Ultra League — Top 100,Feebas (Shadow),—,Milotic (Shadow) #58 (score 89),Rank ≤ #100  (low ATK / high bulk),Waterfall / Aqua Tail / Wrap,1,1
Ultra League — Top 100,Togepi,ML #46,Togekiss #59 (score 89),Rank ≤ #100  (low ATK / high bulk),Peck / Psyshock / Aura Sphere,1,2
Ultra League — Top 100,Turtonator,GL #82,Turtonator #60 (score 89),Rank ≤ #100  (low ATK / high bulk),Incinerate / Brutal Swing / Dragon Claw,1,2
Ultra League — Top 100,Mareep,—,Ampharos #61 (score 88.9),Rank ≤ #100  (low ATK / high bulk),Volt Switch / Brutal Swing / Trailblaze,1,1
Ultra League — Top 100,Guzzlord,GL #25,Guzzlord #62 (score 88.9),Rank ≤ #100  (low ATK / high bulk),Dragon Tail / Brutal Swing / Sludge Bomb,1,2
Ultra League — Top 100,Hippopotas,—,Hippowdon #63 (score 88.9),Rank ≤ #100  (low ATK / high bulk),Sand Attack / Weather Ball Rock / Earth Power,1,1
Ultra League — Top 100,Spritzee,—,Aromatisse #64 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Psyshock / Moonblast,1,1
Ultra League — Top 100,Wimpod,—,Golisopod #65 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Fury Cutter / X Scissor / Aqua Jet,1,1
Ultra League — Top 100,Magikarp,ML #58,Gyarados #66 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Aqua Tail / Twister,1,2
Ultra League — Top 100,Deino (Shadow),GL #73 · ML #43,Hydreigon (Shadow) #67 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Brutal Swing / Fly,1,3
Ultra League — Top 100,Orthworm,—,Orthworm #68 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Rock Tomb / Earthquake,1,1
Ultra League — Top 100,Pikipek,—,Toucannon #69 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Peck / Beak Blast / Drill Peck,1,1
Ultra League — Top 100,Pikipek (Shadow),—,Toucannon (Shadow) #70 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Peck / Beak Blast / Drill Peck,1,1
Ultra League — Top 100,Hippopotas (Shadow),—,Hippowdon (Shadow) #71 (score 88.6),Rank ≤ #100  (low ATK / high bulk),Sand Attack / Weather Ball Rock / Earth Power,1,1
Ultra League — Top 100,Meltan,GL #79 · ML #38,Melmetal #72 (score 88.6),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Double Iron Bash / Dynamic Punch,1,3
Ultra League — Top 100,Tympole,GL #32,Seismitoad #73 (score 88.6),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Earth Power / Icy Wind,1,2
Ultra League — Top 100,Popplio,ML #49,Primarina #74 (score 88.5),Rank ≤ #100  (low ATK / high bulk),Waterfall / Disarming Voice / Hydro Cannon,1,2
Ultra League — Top 100,Cobalion,—,Cobalion #75 (score 88.4),Rank ≤ #100  (low ATK / high bulk),Double Kick / Sacred Sword / Stone Edge,1,1
Ultra League — Top 100,Goomy,ML #53,Goodra #76 (score 88.4),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Aqua Tail / Thunder Punch,1,2
Ultra League — Top 100,Oshawott,GL #96,Samurott #77 (score 88.4),Rank ≤ #100  (low ATK / high bulk),Fury Cutter / Hydro Cannon / Megahorn,1,2
Ultra League — Top 100,Squirtle (Shadow),—,Blastoise (Shadow) #78 (score 88.2),Rank ≤ #100  (low ATK / high bulk),Rollout / Hydro Cannon / Skull Bash,1,1
Ultra League — Top 100,Eevee,ML #56,Sylveon #79 (score 88.2),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Psyshock / Shadow Ball,1,2
Ultra League — Top 100,Tentacool (Shadow),—,Tentacruel (Shadow) #80 (score 88.2),Rank ≤ #100  (low ATK / high bulk),Acid / Scald / Payback,1,1
Ultra League — Top 100,Skrelp,—,Dragalge #81 (score 88.1),Rank ≤ #100  (low ATK / high bulk),Acid / Aqua Tail / Outrage,1,1
Ultra League — Top 100,Dunsparce,—,Dudunsparce #82 (score 88.1),Rank ≤ #100  (low ATK / high bulk),Rollout / Body Slam / Drill Run,1,1
Ultra League — Top 100,Tentacool,—,Tentacruel #83 (score 88.1),Rank ≤ #100  (low ATK / high bulk),Acid / Scald / Payback,1,1
Ultra League — Top 100,Amaura,—,Aurorus #84 (score 88),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Meteor Beam,1,1
Ultra League — Top 100,Magikarp (Shadow),ML #32,Gyarados (Shadow) #85 (score 88),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Aqua Tail / Twister,1,2
Ultra League — Top 100,Sandshrew (Alolan) (Shadow),—,Sandslash (Alolan) (Shadow) #86 (score 88),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Ice Punch / Drill Run,1,1
Ultra League — Top 100,Scyther (Shadow),—,Scizor (Shadow) #87 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Bullet Punch / Night Slash / Trailblaze,1,1
Ultra League — Top 100,Stunfisk,GL #72,Stunfisk #88 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Mud Bomb / Discharge,1,2
Ultra League — Top 100,Koffing,—,Weezing (Galarian) #89 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Sludge / Brutal Swing,1,1
Ultra League — Top 100,Lechonk,GL #37,Oinkologne (Female) #90 (score 87.8),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Body Slam / Trailblaze,1,2
Ultra League — Top 100,Shellos,GL #63,Gastrodon #91 (score 87.7),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Body Slam / Earth Power,1,2
Ultra League — Top 100,Jangmo-o,—,Kommo-o #92 (score 87.7),Rank ≤ #100  (low ATK / high bulk),Dragon Tail / Clanging Scales / Upper Hand,1,1
Ultra League — Top 100,Lotad,—,Ludicolo #93 (score 87.7),Rank ≤ #100  (low ATK / high bulk),Astonish / Weather Ball Water / Energy Ball,1,1
Ultra League — Top 100,Sandshrew (Alolan),—,Sandslash (Alolan) #94 (score 87.7),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Ice Punch / Drill Run,1,1
Ultra League — Top 100,Koffing (Shadow),—,Weezing (Galarian) (Shadow) #95 (score 87.7),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Sludge / Brutal Swing,1,1
Ultra League — Top 100,Amaura (Shadow),—,Aurorus (Shadow) #96 (score 87.6),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Meteor Beam,1,1
Ultra League — Top 100,Dwebble,GL #97,Crustle #97 (score 87.5),Rank ≤ #100  (low ATK / high bulk),Fury Cutter / X Scissor / Rock Wrecker,1,2
Ultra League — Top 100,Skorupi,GL #92,Drapion #98 (score 87.5),Rank ≤ #100  (low ATK / high bulk),Poison Sting / Crunch / Aqua Tail,1,2
Ultra League — Top 100,Fuecoco,—,Skeledirge #99 (score 87.5),Rank ≤ #100  (low ATK / high bulk),Incinerate / Torch Song / Shadow Ball,1,1
Ultra League — Top 100,Mudkip (Shadow),GL #70,Swampert (Shadow) #100 (score 87.5),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Hydro Cannon / Earthquake,1,2
Master League — Top 75,Zacian (Crowned Sword),—,Zacian (Crowned Sword) #1 (score 99),IV% ≥96% or 15 ATK  (high ATK),Metal Claw / Close Combat / Behemoth Blade,1,1
Master League — Top 75,Palkia (Origin),—,Palkia (Origin) #2 (score 98.9),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aqua Tail / Spacial Rend,1,1
Master League — Top 75,Beldum,—,Metagross #3 (score 97.9),IV% ≥96% or 15 ATK  (high ATK),Shadow Claw / Meteor Mash / Earthquake,1,1
Master League — Top 75,Kyurem (White),—,Kyurem (White) #4 (score 94.8),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Fusion Flare / Ice Burn,1,1
Master League — Top 75,Cosmog,—,Lunala #5 (score 94.8),IV% ≥96% or 15 ATK  (high ATK),Shadow Claw / Shadow Ball / Moonblast,1,1
Master League — Top 75,Xerneas,—,Xerneas #6 (score 94.8),IV% ≥96% or 15 ATK  (high ATK),Geomancy / Close Combat / Moonblast,1,1
Master League — Top 75,Dialga (Origin),—,Dialga (Origin) #7 (score 94),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Roar Of Time / Iron Head,1,1
Master League — Top 75,Reshiram,—,Reshiram #8 (score 94),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Fusion Flare / Draco Meteor,1,1
Master League — Top 75,Zamazenta (Crowned Shield),—,Zamazenta (Crowned Shield) #9 (score 93.9),IV% ≥96% or 15 ATK  (high ATK),Ice Fang / Close Combat / Behemoth Bash,1,1
Master League — Top 75,Kyurem (Black),—,Kyurem (Black) #10 (score 93.1),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Freeze Shock / Fusion Bolt,1,1
Master League — Top 75,Kyogre,—,Kyogre #11 (score 93),IV% ≥96% or 15 ATK  (high ATK),Waterfall / Avalanche / Origin Pulse,1,1
Master League — Top 75,Zekrom,—,Zekrom #12 (score 92.8),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Outrage / Fusion Bolt,1,1
Master League — Top 75,Marshadow,—,Marshadow #13 (score 92.6),IV% ≥96% or 15 ATK  (high ATK),Shadow Claw / Close Combat / Ice Punch,1,1
Master League — Top 75,Reshiram (Shadow),—,Reshiram (Shadow) #14 (score 92.5),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Fusion Flare / Draco Meteor,1,1
Master League — Top 75,Eternatus,—,Eternatus #15 (score 91.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Dynamax Cannon / Flamethrower,1,1
Master League — Top 75,Palkia (Shadow),—,Palkia (Shadow) #16 (score 91.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aqua Tail / Draco Meteor,1,1
Master League — Top 75,Lugia,—,Lugia #17 (score 91),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Aeroblast / Fly,1,1
Master League — Top 75,Beldum (Shadow),—,Metagross (Shadow) #18 (score 90.5),IV% ≥96% or 15 ATK  (high ATK),Shadow Claw / Meteor Mash / Earthquake,1,1
Master League — Top 75,Lugia (Shadow),—,Lugia (Shadow) #19 (score 90.2),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Aeroblast / Fly,1,1
Master League — Top 75,Gible (Shadow),—,Garchomp (Shadow) #20 (score 89.7),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Twister / Earth Power,1,1
Master League — Top 75,Necrozma (Dawn Wings),—,Necrozma (Dawn Wings) #21 (score 89.6),IV% ≥96% or 15 ATK  (high ATK),Shadow Claw / Dark Pulse / Moongeist Beam,1,1
Master League — Top 75,Yveltal,—,Yveltal #22 (score 89.6),IV% ≥96% or 15 ATK  (high ATK),Sucker Punch / Dark Pulse / Oblivion Wing,1,1
Master League — Top 75,Gible,—,Garchomp #23 (score 88.7),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Twister / Earth Power,1,1
Master League — Top 75,Ho-Oh,—,Ho-Oh #24 (score 88.7),IV% ≥96% or 15 ATK  (high ATK),Incinerate / Brave Bird / Sacred Fire,1,1
Master League — Top 75,Zygarde (Complete Forme),UL #16,Zygarde (Complete Forme) #25 (score 88.6),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Crunch / Earthquake,1,2
Master League — Top 75,Meloetta (Aria),—,Meloetta (Aria) #26 (score 88.5),IV% ≥96% or 15 ATK  (high ATK),Confusion / Psyshock / Dazzling Gleam,1,1
Master League — Top 75,Palkia,—,Palkia #27 (score 88.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aqua Tail / Fire Blast,1,1
Master League — Top 75,Latios,—,Latios #28 (score 88),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aura Sphere / Luster Purge,1,1
Master League — Top 75,Latios (Shadow),—,Latios (Shadow) #29 (score 88),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aura Sphere / Luster Purge,1,1
Master League — Top 75,Kyogre (Shadow),—,Kyogre (Shadow) #30 (score 87.9),IV% ≥96% or 15 ATK  (high ATK),Waterfall / Avalanche / Origin Pulse,1,1
Master League — Top 75,Necrozma (Dusk Mane),—,Necrozma (Dusk Mane) #31 (score 87.7),IV% ≥96% or 15 ATK  (high ATK),Shadow Claw / Dark Pulse / Sunsteel Strike,1,1
Master League — Top 75,Magikarp (Shadow),UL #85,Gyarados (Shadow) #32 (score 87.6),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aqua Tail / Twister,1,2
Master League — Top 75,Groudon,—,Groudon #33 (score 87.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Fire Punch / Precipice Blades,1,1
Master League — Top 75,Gimmighoul,—,Gholdengo #34 (score 87),IV% ≥96% or 15 ATK  (high ATK),Hex / Shadow Ball / Focus Blast,1,1
Master League — Top 75,Mewtwo (Shadow),—,Mewtwo (Shadow) #35 (score 87),IV% ≥96% or 15 ATK  (high ATK),Psycho Cut / Psystrike / Shadow Ball,1,1
Master League — Top 75,Flabebe,GL #51 · UL #6,Florges #36 (score 86.8),IV% ≥96% or 15 ATK  (high ATK),Fairy Wind / Moonblast / Chilling Water,1,3
Master League — Top 75,Cosmog,—,Solgaleo #37 (score 86.8),IV% ≥96% or 15 ATK  (high ATK),Fire Spin / Psychic Fangs / Iron Head,1,1
Master League — Top 75,Meltan,GL #79 · UL #72,Melmetal #38 (score 86.6),IV% ≥96% or 15 ATK  (high ATK),Thunder Shock / Double Iron Bash / Dynamic Punch,1,3
Master League — Top 75,Keldeo (Resolute),—,Keldeo (Resolute) #39 (score 86.3),IV% ≥96% or 15 ATK  (high ATK),Low Kick / Secret Sword / Aqua Jet,1,1
Master League — Top 75,Latias (Shadow),—,Latias (Shadow) #40 (score 86.3),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aura Sphere / Mist Ball,1,1
Master League — Top 75,Dialga,—,Dialga #41 (score 86),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Iron Head / Draco Meteor,1,1
Master League — Top 75,Dialga (Shadow),—,Dialga (Shadow) #42 (score 86),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Iron Head / Draco Meteor,1,1
Master League — Top 75,Deino (Shadow),GL #73 · UL #67,Hydreigon (Shadow) #43 (score 85.3),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Brutal Swing / Fly,1,3
Master League — Top 75,Jirachi,—,Jirachi #44 (score 85.2),IV% ≥96% or 15 ATK  (high ATK),Confusion / Doom Desire / Aura Sphere,1,1
Master League — Top 75,Mewtwo,—,Mewtwo #45 (score 84.9),IV% ≥96% or 15 ATK  (high ATK),Psycho Cut / Psystrike / Shadow Ball,1,1
Master League — Top 75,Togepi,UL #59,Togekiss #46 (score 84.8),IV% ≥96% or 15 ATK  (high ATK),Peck / Dazzling Gleam / Aura Sphere,1,2
Master League — Top 75,Mankey (Shadow),UL #12,Annihilape (Shadow) #47 (score 84.6),IV% ≥96% or 15 ATK  (high ATK),Counter / Rage Fist / Ice Punch,1,2
Master League — Top 75,Kyurem,—,Kyurem #48 (score 84.6),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Glaciate / Dragon Claw,1,1
Master League — Top 75,Popplio,UL #74,Primarina #49 (score 84.6),IV% ≥96% or 15 ATK  (high ATK),Waterfall / Disarming Voice / Hydro Cannon,1,2
Master League — Top 75,Latias,—,Latias #50 (score 84.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aura Sphere / Mist Ball,1,1
Master League — Top 75,Tapu Lele,—,Tapu Lele #51 (score 84.4),IV% ≥96% or 15 ATK  (high ATK),Astonish / Psyshock / Natures Madness,1,1
Master League — Top 75,Dratini (Shadow),—,Dragonite (Shadow) #52 (score 84),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Thunder Punch / Super Power,1,1
Master League — Top 75,Goomy,UL #76,Goodra #53 (score 83.9),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aqua Tail / Draco Meteor,1,2
Master League — Top 75,Keldeo (Ordinary),—,Keldeo (Ordinary) #54 (score 83.9),IV% ≥96% or 15 ATK  (high ATK),Low Kick / Aqua Jet / Sacred Sword,1,1
Master League — Top 75,Larvitar (Shadow),—,Tyranitar (Shadow) #55 (score 83.2),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Brutal Swing / Stone Edge,1,1
Master League — Top 75,Eevee,UL #79,Sylveon #56 (score 83.1),IV% ≥96% or 15 ATK  (high ATK),Fairy Wind / Moonblast / Shadow Ball,1,2
Master League — Top 75,Landorus (Therian),—,Landorus (Therian) #57 (score 83),IV% ≥96% or 15 ATK  (high ATK),Mud Shot / Sandsear Storm / Stone Edge,1,1
Master League — Top 75,Magikarp,UL #66,Gyarados #58 (score 82.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aqua Tail / Crunch,1,2
Master League — Top 75,Mankey,UL #11,Annihilape #59 (score 82.3),IV% ≥96% or 15 ATK  (high ATK),Counter / Rage Fist / Ice Punch,1,2
Master League — Top 75,Groudon (Shadow),—,Groudon (Shadow) #60 (score 82.3),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Fire Punch / Precipice Blades,1,1
Master League — Top 75,Ho-Oh (Shadow),—,Ho-Oh (Shadow) #61 (score 82.1),IV% ≥96% or 15 ATK  (high ATK),Incinerate / Brave Bird / Sacred Fire,1,1
Master League — Top 75,Volcanion,—,Volcanion #62 (score 81.8),IV% ≥96% or 15 ATK  (high ATK),Incinerate / Scald / Earth Power,1,1
Master League — Top 75,Dratini,—,Dragonite #63 (score 81.5),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Thunder Punch / Super Power,1,1
Master League — Top 75,Kubfu,—,Urshifu (Single Strike) #64 (score 81.1),IV% ≥96% or 15 ATK  (high ATK),Sucker Punch / Dynamic Punch / Payback,1,1
Master League — Top 75,Deino,GL #91,Hydreigon #65 (score 81),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Brutal Swing / Fly,1,2
Master League — Top 75,Heatran (Shadow),—,Heatran (Shadow) #66 (score 80.8),IV% ≥96% or 15 ATK  (high ATK),Fire Spin / Magma Storm / Earth Power,1,1
Master League — Top 75,Raikou (Shadow),UL #56,Raikou (Shadow) #67 (score 80.7),IV% ≥96% or 15 ATK  (high ATK),Thunder Shock / Wild Charge / Aura Sphere,1,2
Master League — Top 75,Rhyhorn,—,Rhyperior #68 (score 80.6),IV% ≥96% or 15 ATK  (high ATK),Mud Slap / Drill Run / Rock Wrecker,1,1
Master League — Top 75,Frigibax,—,Baxcalibur #69 (score 80.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Glaive Rush / Avalanche,1,1
Master League — Top 75,Giratina (Origin),—,Giratina (Origin) #70 (score 80.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Shadow Ball / Ominous Wind,1,1
Master League — Top 75,Kubfu,—,Urshifu (Rapid Strike) #71 (score 80.4),IV% ≥96% or 15 ATK  (high ATK),Waterfall / Aqua Jet / Dynamic Punch,1,1
Master League — Top 75,Zapdos (Shadow),—,Zapdos (Shadow) #72 (score 80.4),IV% ≥96% or 15 ATK  (high ATK),Thunder Shock / Drill Peck / Heat Wave,1,1
Master League — Top 75,Rhyhorn (Shadow),—,Rhyperior (Shadow) #73 (score 80.3),IV% ≥96% or 15 ATK  (high ATK),Mud Slap / Drill Run / Rock Wrecker,1,1
Master League — Top 75,Enamorus (Therian),—,Enamorus (Therian) #74 (score 80.1),IV% ≥96% or 15 ATK  (high ATK),Fairy Wind / Mystical Fire / Moonblast,1,1
Master League — Top 75,Giratina (Altered) (Shadow),UL #46,Giratina (Altered) (Shadow) #75 (score 80.1),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Ancient Power / Dragon Claw,1,2
